Cargo,Local,Empresa,Descrição,Link
Analista De Dados - DV,"São Paulo, SP",Divulga Vagas,"No projeto, extrair dados oriundos de múltiplas fontes, tratar estes dados comparando, ajustando,.Classificando, e organizando a visualização do dado.",https://tinyurl.com/y335ryq3
Analista De Rede E Comunicação De Dados - Porto Alegre - RS,"Porto Alegre, RS",Líder e Gestão,"Titulo: Analista de Rede e Comunicação de Dados - Porto Alegre - RSDescricao: Suporte técnico informático, desempenhando atividades como manutenção de…",https://tinyurl.com/yxka5lok
Analista Banco de Dados,"São Luís, MA",Pulse,Noções de modelagem de dados.Desejável experiência com manutenção de bancos de dados:Profissional responsável pela administração e manutenção de banco de…,https://tinyurl.com/yxpawyq6
Analista SR de Dados - Fintech Operations,"São Paulo, SP",Mappit,Conhecimento básico de banco de dados é um diferencial.Realização de treinamentos e confecção de materiais de apoio.Conhecimento do mercado de pagamentos.,https://tinyurl.com/yxgpkv7y
Analista de Governança de Dados Sênior,"Curitiba, PR",Olist,"Experiência na implantação de governança integrada de dados, qualidade de dados e gestão de metadados;Conhecimentos sobre a nova lei de proteção de dados LGPD.",https://tinyurl.com/y6n2l6bv
Analista de Sistemas PL (foco em administração de dados),"Aracaju, SE",GRUPO TIRADENTES,O foco principal será o de liderar iniciativas de Administração de dados.Analista de Sistemas PL (foco em administração de dados).,https://tinyurl.com/yyehmyhs
ANALISTA DE REDE E COMUNICAÇÃO DE DADOS - SUPERIOR COMPLETO,"Porto Alegre, RS",None,"Atividades: Suporte técnico informático, desempenhando atividades como manutenção de equipamentos, instalação e configuração de software e sistemas utilizados…",https://tinyurl.com/y2f9t4jm
ANALISTA ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Brasilprev,"Experiência em: Análise e programação de demandas de modelagem e extração de dados.Venha fazer parte do nosso time de tecnologia, onde você terá com o objetivo…",https://tinyurl.com/y4lqkrhh
Analista de Suporte Banco de Dados Oracle (SCA),"Fortaleza, CE",Lanlink Informática,Apoiar a CONTRATANTE na proposição de políticas de backups de banco de dados;Orientar usuários na utilização de ferramentas de modelagem de dados;,https://tinyurl.com/y5ch52ha
analista sênior de controladoria/base de dados.,"São Paulo, SP",Randstad,Necessário conhecimento em linguagens de programação (ex: C# e Python) e manipulação de banco de dados (ex: SQL).Vivência no Departamento Financeiro/Contábil.,https://tinyurl.com/y2b58gn3
PROGRAMADOR/ANALISTA DE DESENVOLVIMENTO EM BANCO DE DADOS OR...,Brasil,Place RH,"Conhecimento em SQL e banco de dados relacional (de preferência Oracle), SQL e PL/SQL.Experiência mínima de 2 anos atuando em análise, desenvolvimento e…",https://tinyurl.com/y4l9sx8u
Analista de Suporte de Banco de Dados Oracle,"Fortaleza, CE",Camarmo Recrutamento e Seleção,"Apoiar os administradores de dados, na utilização dos bancos de dados MICROSOFT SQL SERVER, ORACLE RAC, MYSQL e POSTGRES em conformidade com as normas de…",https://tinyurl.com/yy7xuq6u
Analista de Migrações de Dados Jr,Brasil,Avec,"Mapeamento do banco de dados e sua exportação.Conhecimento de linguagem sql para instruções de select, update, delete e joins.Conhecimento em chamada de api.",https://tinyurl.com/y3yfeydl
Analista de Dados - Treinamento,Brasil,99,Criação de controles de dados para acompanhamento de OKRs.Criação de controles de dados para acompanhamento de KPIs.Conhecimento em análise de dados amostral.,https://tinyurl.com/y4l6gmm9
